user_id	history	indices	values
36	"[   7 1093  932 1020 1694 2340 1644 1450 2365  170  894  506 2497  488
  923 2649  485 1012 3028 2192]"	"[1746 2000 1637  447 1915   61 1895 1195 1263 1230 1839 1010 1131 1032
  823 1462 1402  406  139 1144 1803 1166  302 1634 1820  803 1567 1834
 1832  235 1682  626]"	"[7.549864  7.1386633 6.4357576 6.0744743 5.8772316 5.746204  5.260926
 5.0798707 4.398423  3.8670907 3.6049898 3.3875067 3.226031  3.2155035
 3.176168  2.9819226 2.9206958 2.8021443 2.6873546 2.5557065 2.413963
 2.4033062 2.2532837 2.1736991 2.138201  1.9582134 1.8653014 1.860255
 1.8487558 1.8289199 1.7823701 1.76725  ]"
36	"[1093  932 1020 1694 2340 1644 1450 2365  170  894  506 2497  488  923
 2649  485 1012 3028 2192 1320]"	"[  84 1637   61   80  112 1802  146  447 1567 1978 1078  138 1462  406
 1420 1143 1402  626 1119  550 1178  139  759 1230 1746  313 1833 1445
  224  664 1915 1876]"	"[10.265358   9.8194     6.5548224  6.1084604  4.7303596  4.0907507
  3.4761133  3.4550035  3.3523862  3.2457721  3.2441382  2.9662619
  2.9201396  2.9066107  2.7567062  2.5481086  2.3596363  2.3066823
  2.2223463  2.1731215  2.1383464  2.0205953  2.000762   1.9812564
  1.9806778  1.9085956  1.8994875  1.6584997  1.488061   1.4863026
  1.3788284  1.365062 ]"
36	"[ 932 1020 1694 2340 1644 1450 2365  170  894  506 2497  488  923 2649
  485 1012 3028 2192 1320 1764]"	"[1637  151  626 1131 1462 1895  406  458 1480 1420 1605  112 1839   61
 1230 1762  412  991  826  855 1195 1051  121 1802 1923 1676 1002  808
 1207 1421 1336 1746]"	"[7.3867044 6.957568  6.132183  5.853591  5.26309   4.723614  4.5081997
 4.100072  4.0701485 3.8025188 3.2943718 3.2380962 2.9638603 2.9529512
 2.946124  2.945539  2.906562  2.7308464 2.6268592 2.5915856 2.3842952
 2.2745214 2.216633  1.9445174 1.7995446 1.7887412 1.7782019 1.7089641
 1.6355339 1.5418365 1.5186983 1.4932477]"
36	"[1020 1694 2340 1644 1450 2365  170  894  506 2497  488  923 2649  485
 1012 3028 2192 1320 1764 2992]"	"[1338 1637 1820 1143 1846  112  991  409 1634 1512 1131 1078 1915  803
  759 1193   61 1230  626 1166  766 1555  139 1847  823 1420 1051 1778
 1839  458 1402 1863]"	"[10.254158   8.319835   7.241868   4.903157   4.7006817  4.693408
  3.9502356  3.9149096  3.7485223  3.593449   3.3095093  3.2853522
  3.12063    2.922177   2.8052723  2.6933098  2.6831403  2.6645052
  2.642076   2.4395626  2.2698693  2.230185   2.1818168  2.094248
  1.8750813  1.8473073  1.6251147  1.6084095  1.5952287  1.5557623
  1.4314072  1.3974459]"
36	"[1694 2340 1644 1450 2365  170  894  506 2497  488  923 2649  485 1012
 3028 2192 1320 1764 2992 1848]"	"[1637  122  313 1832 1847 1634 1143  188  401 1802 1230 1863 1166  406
 1193   61  146  626 1200  139 1051 1708 2015  599  447 1336  112  826
  409  991  415 1420]"	"[9.673884   9.245929   6.2981596  6.1674557  5.084666   4.9200335
 4.2535844  4.2136207  4.1934237  3.510496   3.425746   3.217747
 3.0947936  2.9198995  2.80385    2.5622141  2.2425382  1.9349476
 1.6826004  1.4969991  1.4472833  1.3392521  1.2469894  1.2233605
 1.0947162  1.0494013  1.039793   1.039673   0.98758787 0.9792322
 0.9678829  0.87475383]"
36	"[2340 1644 1450 2365  170  894  506 2497  488  923 2649  485 1012 3028
 2192 1320 1764 2992 1848 2521]"	"[1637 2015  166   61 1051 1832 1915  146  991 1849 1820  409  112 1200
 1863  139  406 1766 1746  542 1676 1707  759 1346  171 1181 1078 1353
 1192 1193 1978  313]"	"[10.249627  10.196067   6.728464   5.648749   5.2565     4.813136
  4.752286   3.9408174  2.7738323  2.6898012  2.6031435  2.5354125
  2.3241768  2.2876382  2.1849518  2.0899978  2.0149496  1.987858
  1.9671032  1.7694788  1.7021242  1.58726    1.5498364  1.5197872
  1.4799383  1.2637887  1.1456685  1.1384797  1.1328032  1.0393517
  0.8550986  0.8194713]"
36	"[1644 1450 2365  170  894  506 2497  488  923 2649  485 1012 3028 2192
 1320 1764 2992 1848 2521  253]"	"[1637  112 1137 1592   61  823  139 1051 2015  542 1847  146  826 1863
  401  626  759 1200  905 1978 1388 1336 1166  177 1402  121 1207  406
 1820  664 1832 1231]"	"[9.5481615  8.809108   7.998611   5.3318076  4.971375   4.7429533
 4.591716   4.30619    3.9249923  3.7244802  3.6850476  3.4497998
 3.1357653  2.8174355  2.7948244  2.5153437  2.4780428  2.2766874
 2.2326906  2.0071495  1.826856   1.808588   1.7254553  1.5967933
 1.3600067  1.2283676  1.1942403  1.0718856  0.7970734  0.77898467
 0.6962457  0.60523033]"
36	"[1450 2365  170  894  506 2497  488  923 2649  485 1012 3028 2192 1320
 1764 2992 1848 2521  253  210]"	"[1637 1404  112  313 1634 1230  652  823  680  550 2015 1445  146  415
   99 1863 1207 1847 1567 1336 1178 1173 1232  447  223 1963   81 1802
   35 1607 1832 1402]"	"[8.605896  8.498269  7.9047422 7.2370677 5.3976274 4.6788816 4.4160213
 3.9708188 3.7718294 3.747888  3.546044  3.414572  3.1052647 2.583371
 2.3361497 2.2688482 2.152275  1.8748938 1.8632612 1.7288363 1.6158004
 1.581565  1.4835979 1.4412214 1.3361455 1.2765589 1.1074595 1.0699329
 1.0275092 1.0191596 0.9949773 0.9895173]"
36	"[2365  170  894  506 2497  488  923 2649  485 1012 3028 2192 1320 1764
 2992 1848 2521  253  210  995]"	"[ 626 1286  313  112 1637 1230  533  803 2015  177  823  447 1863 1402
 1200  406 1746 1846  139  223  458 1231  905 1634 1445 1708 1605  759
 1895 1207  415 1420]"	"[12.345185    8.199497    6.4575458   6.301344    5.9729447   4.717956
  4.540822    3.7184944   3.2642555   3.1895955   2.8614628   2.517571
  2.1819391   2.1653204   2.0255454   1.9493057   1.877208    1.75036
  1.7222497   1.6855094   1.6128073   1.538768    1.3101742   1.3024608
  1.2047086   1.158182    1.1251707   0.98800564  0.93217003  0.86319405
  0.8225703   0.8177992 ]"
36	"[ 170  894  506 2497  488  923 2649  485 1012 3028 2192 1320 1764 2992
 1848 2521  253  210  995  517]"	"[1559 1979 1637  223 1708 1420  803  991  626  177  458   99  313 1230
 1863  112  421 1849 1634  759 1402  415 1847 1207  823  139 1200 1231
 1143 1567  121 1445]"	"[9.219881  9.106351  8.783184  5.2810636 5.1354976 4.786523  4.1644177
 3.8828957 3.7965102 3.7510896 3.3967526 3.0548985 3.0442753 3.0305035
 2.9347084 2.4511735 2.420594  2.3088672 2.031905  1.9265523 1.8184469
 1.7676878 1.7351737 1.6604098 1.4661689 1.3840194 1.3310006 1.3058755
 1.2965027 1.2963493 1.2251883 1.0532781]"
